link,title,author_name,author_link,kindle_price,average_rating,rating_count,review_count,n_pages
https://www.goodreads.com/book/show/31645392-declutter-your-mind,"Declutter Your Mind: How to Stop Worrying, Relieve Anxiety, and Eliminate Negative Thinking",S.J. Scott,https://www.goodreads.com/author/show/6982678.S_J_Scott,Kindle Unlimited $0.00,3.69,"6,212",419,"157 pages, Kindle Edition"
https://www.goodreads.com/book/show/40974159-tears-of-the-silenced,Tears of the Silenced,Misty Griffin,https://www.goodreads.com/author/show/11246552.Misty_Griffin,Kindle Unlimited $0.00,4.28,"19,723","1,527","384 pages, Kindle Edition"
https://www.goodreads.com/book/show/64653012-god-is-the-cure-love-is-the-answer,"God Is the Cure, Love Is the Answer: A Memoir",Aimee Cabo Nikolov,https://www.goodreads.com/author/show/18294819.Aimee_Cabo_Nikolov,Kindle Unlimited $0.00,4.29,"10,628",104,"154 pages, Paperback"
https://www.goodreads.com/book/show/25666050-algorithms-to-live-by,Algorithms to Live By: The Computer Science of Human Decisions,Brian Christian,https://www.goodreads.com/author/show/4199891.Brian_Christian,Kindle Unlimited $0.00,4.13,"28,881","2,637","368 pages, Hardcover"
https://www.goodreads.com/book/show/17794511-call-me-tuesday,Call Me Tuesday,Leigh Byrne,https://www.goodreads.com/author/show/5082292.Leigh_Byrne,Kindle Unlimited $0.00,4.25,"10,290",668,"328 pages, Kindle Edition"
https://www.goodreads.com/book/show/44167792-the-pale-faced-lie,The Pale-Faced Lie,David Crow,https://www.goodreads.com/author/show/18921025.David_Crow,Kindle Unlimited $0.00,4.29,"21,591","2,161","352 pages, Hardcover"
https://www.goodreads.com/book/show/180463.Leadership_and_Self_Deception,Leadership and Self-Deception: Getting Out of the Box,The Arbinger Institute,https://www.goodreads.com/author/show/828.The_Arbinger_Institute,,4.11,"30,557","2,823","192 pages, Paperback"
https://www.goodreads.com/book/show/49897727-the-boy-in-the-cellar,The Boy in the Cellar,Stephen Smith,https://www.goodreads.com/author/show/21216155.Stephen_Smith,Kindle $5.90,4.43,"1,564",172,"302 pages, Kindle Edition"
https://www.goodreads.com/book/show/2133999.Will_I_Ever_Be_Good_Enough_Healing_the_Daughters_of_Narcissistic_Mothers,Will I Ever Be Good Enough? Healing the Daughters of Narcissistic Mothers,Karyl McBride,https://www.goodreads.com/author/show/970635.Karyl_McBride,Kindle $13.99,4.18,"8,691",779,"272 pages, Hardcover"
https://www.goodreads.com/book/show/6796675-buddha-s-brain,"Buddha's Brain: The Practical Neuroscience of Happiness, Love, and Wisdom",Rick Hanson,https://www.goodreads.com/author/show/417985.Rick_Hanson,Kindle $10.99,3.99,"13,485",858,"252 pages, Paperback"
https://www.goodreads.com/book/show/10569.On_Writing,On Writing: A Memoir of the Craft,Stephen King,https://www.goodreads.com/author/show/3389.Stephen_King,Kindle $12.99,4.33,"272,137","22,076","320 pages, Mass Market Paperback"
https://www.goodreads.com/book/show/42397849-burnout,Burnout: The Secret to Unlocking the Stress Cycle,Emily Nagoski,https://www.goodreads.com/author/show/3517051.Emily_Nagoski,Kindle $12.99,3.97,"44,442","4,584","277 pages, Hardcover"
https://www.goodreads.com/book/show/2153780.Hold_Me_Tight,Hold Me Tight: Seven Conversations for a Lifetime of Love,Sue Johnson,https://www.goodreads.com/author/show/22726.Sue_Johnson,Kindle $15.99,4.11,"16,256","1,062","300 pages, Hardcover"
https://www.goodreads.com/book/show/12138871-18-minutes,"18 Minutes: Find Your Focus, Master Distraction, and Get the Right Things Done",Peter Bregman,https://www.goodreads.com/author/show/1217024.Peter_Bregman,Kindle $11.99,3.80,"5,531",392,"288 pages, Hardcover"
https://www.goodreads.com/book/show/25614984-spark-joy,Spark Joy: An Illustrated Master Class on the Art of Organizing and Tidying Up,Marie Kondō,https://www.goodreads.com/author/show/5589647.Marie_Kond_,Kindle $11.99,3.88,"40,264","3,620","291 pages, Hardcover"
https://www.goodreads.com/book/show/262731.The_Definitive_Book_of_Body_Language,The Definitive Book of Body Language,Allan Pease,https://www.goodreads.com/author/show/75844.Allan_Pease,Kindle $9.99,3.96,"26,170","1,301","400 pages, Hardcover"
https://www.goodreads.com/book/show/235869.Intuitive_Eating,Intuitive Eating: A Revolutionary Program That Works,Evelyn Tribole,https://www.goodreads.com/author/show/137980.Evelyn_Tribole,,4.24,"16,511","1,670","284 pages, Paperback"
https://www.goodreads.com/book/show/81959.As_a_Man_Thinketh,As a Man Thinketh,James Allen,https://www.goodreads.com/author/show/8446.James_Allen,,4.25,"77,699","4,936","80 pages, Hardcover"
https://www.goodreads.com/book/show/18774981-waking-up,Waking Up: A Guide to Spirituality Without Religion,Sam Harris,https://www.goodreads.com/author/show/16593.Sam_Harris,Kindle $13.99,3.91,"43,603","2,781","256 pages, Hardcover"
https://www.goodreads.com/book/show/48757.The_Tao_of_Pooh,The Tao of Pooh,Benjamin Hoff,https://www.goodreads.com/author/show/27397.Benjamin_Hoff,,4.00,"115,449","5,529","176 pages, Paperback"
https://www.goodreads.com/book/show/220713.Organizing_from_the_Inside_Out,"Organizing from the Inside Out: The Foolproof System for Organizing Your Home, Your Office and Your Life",Julie Morgenstern,https://www.goodreads.com/author/show/91773.Julie_Morgenstern,Kindle $11.99,3.84,"6,578",311,"247 pages, Paperback"
https://www.goodreads.com/book/show/35430922-you-do-you,You Do You: How to Be Who You Are and Use What You've Got to Get What You Want,Sarah Knight,https://www.goodreads.com/author/show/425766.Sarah_Knight,Kindle $12.99,3.62,"7,113",619,"299 pages, Hardcover"
https://www.goodreads.com/book/show/19661852-fluent-forever,Fluent Forever: How to Learn Any Language Fast and Never Forget It,Gabriel Wyner,https://www.goodreads.com/author/show/7135365.Gabriel_Wyner,,4.09,"10,401","1,147","326 pages, Paperback"
https://www.goodreads.com/book/show/6315775-mindsight,Mindsight: The New Science of Personal Transformation,Daniel J. Siegel,https://www.goodreads.com/author/show/191925.Daniel_J_Siegel,Kindle $4.99,4.13,"10,243",589,"336 pages, Hardcover"
https://www.goodreads.com/book/show/6570502-switch,Switch: How to Change Things When Change Is Hard,Chip Heath,https://www.goodreads.com/author/show/39021.Chip_Heath,,4.03,"50,640","3,250","305 pages, Hardcover"
https://www.goodreads.com/book/show/721609.Spark,Spark: The Revolutionary New Science of Exercise and the Brain,John J. Ratey,https://www.goodreads.com/author/show/46636.John_J_Ratey,Kindle $9.99,4.13,"15,011","1,674","294 pages, Hardcover"
https://www.goodreads.com/book/show/41044212-ted-talks,TED Talks: The Official TED Guide to Public Speaking,Chris J. Anderson,https://www.goodreads.com/author/show/14161638.Chris_J_Anderson,Kindle Unlimited $0.00,4.05,"13,253","1,099","288 pages, Kindle Edition"
https://www.goodreads.com/book/show/38210.The_Art_of_Happiness,The Art of Happiness,Dalai Lama XIV,https://www.goodreads.com/author/show/570218.Dalai_Lama_XIV,Kindle $16.99,4.17,"112,333","3,162","322 pages, Hardcover"
https://www.goodreads.com/book/show/84699.Never_Eat_Alone,"Never Eat Alone: And Other Secrets to Success, One Relationship at a Time",Keith Ferrazzi,https://www.goodreads.com/author/show/48465.Keith_Ferrazzi,,3.84,"47,650","1,884","309 pages, Hardcover"
https://www.goodreads.com/book/show/1052.The_Richest_Man_in_Babylon,The Richest Man in Babylon,George S. Clason,https://www.goodreads.com/author/show/688.George_S_Clason,Kindle $2.99,4.25,"178,046","9,822","194 pages, Paperback"
https://www.goodreads.com/book/show/56157.The_Proper_Care_and_Feeding_of_Husbands,The Proper Care and Feeding of Husbands,Laura Schlessinger,https://www.goodreads.com/author/show/6519027.Laura_Schlessinger,Kindle $12.99,3.71,"17,515","2,107","180 pages, Paperback"
https://www.goodreads.com/book/show/56465.The_Gift_of_Fear,The Gift of Fear: Survival Signals That Protect Us from Violence,Gavin de Becker,https://www.goodreads.com/author/show/31933.Gavin_de_Becker,Kindle $6.39,4.17,"39,988","4,077","352 pages, Paperback"
https://www.goodreads.com/book/show/6265779-the-mindful-path-to-self-compassion,The Mindful Path to Self-Compassion: Freeing Yourself from Destructive Thoughts and Emotions,Christopher K. Germer,https://www.goodreads.com/author/show/2849344.Christopher_K_Germer,Kindle $9.99,4.01,"4,507",232,"306 pages, Paperback"
https://www.goodreads.com/book/show/20170321-the-happiness-of-pursuit,The Happiness of Pursuit: Finding the Quest That Will Bring Purpose to Your Life,Chris Guillebeau,https://www.goodreads.com/author/show/3367145.Chris_Guillebeau,Kindle $13.99,3.70,"6,604",576,"304 pages, Hardcover"
https://www.goodreads.com/book/show/17859574-how-to-fail-at-almost-everything-and-still-win-big,How to Fail at Almost Everything and Still Win Big: Kind of the Story of My Life,Scott Adams,https://www.goodreads.com/author/show/5282.Scott_Adams,,4.05,"18,599","1,776","248 pages, Hardcover"
https://www.goodreads.com/book/show/68984.The_Power_of_Your_Subconscious_Mind,The Power of Your Subconscious Mind,Joseph Murphy,https://www.goodreads.com/author/show/20369.Joseph_Murphy,,4.09,"69,226","4,674","304 pages, Mass Market Paperback"
https://www.goodreads.com/book/show/30900534-you-are-a-badass-at-making-money,You Are a Badass at Making Money: Master the Mindset of Wealth,Jen Sincero,https://www.goodreads.com/author/show/69641.Jen_Sincero,Kindle $12.99,3.90,"27,728","2,398","267 pages, Hardcover"
https://www.goodreads.com/book/show/1303.The_48_Laws_of_Power,The 48 Laws of Power,Robert Greene,https://www.goodreads.com/author/show/865.Robert_Greene,Kindle $16.99,4.15,"124,273","6,843","452 pages, Paperback"
https://www.goodreads.com/book/show/40404801-notes-on-a-nervous-planet,Notes on a Nervous Planet,Matt Haig,https://www.goodreads.com/author/show/76360.Matt_Haig,Kindle $5.99,3.98,"45,627","4,964","288 pages, Paperback"
https://www.goodreads.com/book/show/526134.The_Language_of_Letting_Go,The Language of Letting Go: Daily Meditations on Codependency,Melody Beattie,https://www.goodreads.com/author/show/4482.Melody_Beattie,Kindle $12.99,4.35,"7,799",312,"393 pages, Paperback"
https://www.goodreads.com/book/show/10645233-do-the-work,Do the Work,Steven Pressfield,https://www.goodreads.com/author/show/867.Steven_Pressfield,Kindle $4.99,3.97,"19,705","1,273","109 pages, Audio CD"
https://www.goodreads.com/book/show/748862.Simple_Abundance,Simple Abundance: A Daybook of Comfort of Joy,Sarah Ban Breathnach,https://www.goodreads.com/author/show/3495853.Sarah_Ban_Breathnach,,3.97,"38,731",672,"528 pages, Hardcover"
https://www.goodreads.com/book/show/13721709-the-antidote,The Antidote: Happiness for People Who Can't Stand Positive Thinking,Oliver Burkeman,https://www.goodreads.com/author/show/4384050.Oliver_Burkeman,,4.03,"13,662","1,399","256 pages, ebook"
https://www.goodreads.com/book/show/35412097-when,When: The Scientific Secrets of Perfect Timing,Daniel H. Pink,https://www.goodreads.com/author/show/96150.Daniel_H_Pink,Kindle $13.99,3.79,"28,879","2,637","272 pages, Hardcover"
https://www.goodreads.com/book/show/81107.The_Energy_Bus,"The Energy Bus: 10 Rules to Fuel Your Life, Work, and Team with Positive Energy",Jon Gordon,https://www.goodreads.com/author/show/46174.Jon_Gordon,Kindle $15.00,3.85,"22,329","2,153","192 pages, Hardcover"
https://www.goodreads.com/book/show/12176421-how-to-win-friends-and-influence-people-in-the-digital-age,How to Win Friends and Influence People in the Digital Age,Dale Carnegie,https://www.goodreads.com/author/show/3317.Dale_Carnegie,Kindle $13.99,3.93,"12,118",952,"251 pages, Kindle Edition"
https://www.goodreads.com/book/show/30231806-goodbye-things,"Goodbye, Things: The New Japanese Minimalism",Fumio Sasaki,https://www.goodreads.com/author/show/15267855.Fumio_Sasaki,Kindle $13.17,3.80,"35,979","4,575","259 pages, Hardcover"
https://www.goodreads.com/book/show/948213.Success_Through_a_Positive_Mental_Attitude,Success Through a Positive Mental Attitude,Napoleon Hill,https://www.goodreads.com/author/show/399.Napoleon_Hill,Kindle $13.99,4.29,"10,610",277,"384 pages, Paperback"
https://www.goodreads.com/book/show/22859551-the-crossroads-of-should-and-must,The Crossroads of Should and Must: Find and Follow Your Passion,Elle Luna,https://www.goodreads.com/author/show/8427218.Elle_Luna,Kindle $11.99,3.97,"10,933",966,"161 pages, Hardcover"
https://www.goodreads.com/book/show/17331349-think-like-a-freak,Think Like a Freak,Steven D. Levitt,https://www.goodreads.com/author/show/798.Steven_D_Levitt,,3.86,"52,925","3,677","304 pages, ebook"
https://www.goodreads.com/book/show/321982.What_to_Say_When_You_Talk_to_Yourself,What to Say When You Talk to Yourself,shad-helmstetter,https://www.goodreads.com/author/show/36254424.shad_helmstetter,Kindle $0.99,4.14,"15,112",623,"256 pages, Paperback"
https://www.goodreads.com/book/show/39901314-outer-order-inner-calm,"Outer Order, Inner Calm: Declutter & Organize to Make More Room for Happiness",Gretchen Rubin,https://www.goodreads.com/author/show/21246.Gretchen_Rubin,Kindle $8.99,3.53,"14,617","1,933","208 pages, Hardcover"
https://www.goodreads.com/book/show/55298552-manage-my-emotions,"Manage My Emotions: What I Wish I'd Learned in School about Anger, Fear and Love",Kenneth J. Martz,https://www.goodreads.com/author/show/20688694.Kenneth_J_Martz,Kindle $4.99,4.09,64,13,"230 pages, Kindle Edition"
https://www.goodreads.com/book/show/52604226-closing-deals,Closing Deals: Make an Offer,Y-Photography,https://www.goodreads.com/author/show/16977142.Y_Photography,,4.32,44,1,ebook
https://www.goodreads.com/book/show/18835287-the-light-in-your-pocket,The Light in Your Pocket: Illuminate Your Life in 140-Characters or Less,Judy M. Ford,https://www.goodreads.com/author/show/7398853.Judy_M_Ford,,4.75,4,0,"122 pages, Paperback"
https://www.goodreads.com/book/show/61923892-mindhub,MindHub: Personality Profiler,Y-Photography,https://www.goodreads.com/author/show/16977142.Y_Photography,,4.52,52,3,
https://www.goodreads.com/book/show/1005.Think_and_Grow_Rich,Think and Grow Rich: The Landmark Bestseller Now Revised and Updated for the 21st Century,Napoleon Hill,https://www.goodreads.com/author/show/399.Napoleon_Hill,Kindle $0.45,4.18,"303,462","9,486","320 pages, Paperback"
https://www.goodreads.com/book/show/3431.The_Five_People_You_Meet_in_Heaven,The Five People You Meet in Heaven,Mitch Albom,https://www.goodreads.com/author/show/2331.Mitch_Albom,Kindle $10.99,3.98,"683,398","26,123","196 pages, Paperback"
https://www.goodreads.com/book/show/6547576-just-listen,Just Listen: Discover the Secret to Getting Through to Absolutely Anyone,Mark Goulston,https://www.goodreads.com/author/show/237871.Mark_Goulston,Kindle $13.99,4.05,"8,678",558,"234 pages, Hardcover"
https://www.goodreads.com/book/show/37660370-the-covert-passive-aggressive-narcissist,The Covert Passive Aggressive Narcissist: Recognizing the Traits and Finding Healing After Hidden Emotional and Psychological Abuse,Debbie Mirza,https://www.goodreads.com/author/show/16502671.Debbie_Mirza,Kindle $9.99,4.29,"1,742",155,"228 pages, Kindle Edition"
https://www.goodreads.com/book/show/39715777-behind-closed-doors,BEHIND CLOSED DOORS: A Daughter's Story,Daniella Dechristopher,https://www.goodreads.com/author/show/17491348.Daniella_Dechristopher,Kindle Unlimited $0.00,4.01,"3,201",169,"260 pages, Kindle Edition"
https://www.goodreads.com/book/show/61430553-a-little-pinprick,A Little Pinprick,Paige Dearth,https://www.goodreads.com/author/show/5100156.Paige_Dearth,Kindle Unlimited $0.00,4.45,"1,952",151,"453 pages, Kindle Edition"
https://www.goodreads.com/book/show/23848559-furiously-happy,Furiously Happy: A Funny Book About Horrible Things,Jenny Lawson,https://www.goodreads.com/author/show/5272674.Jenny_Lawson,Kindle $11.99,3.90,"157,694","15,673","329 pages, Hardcover"
https://www.goodreads.com/book/show/17354208-relentless,Relentless: From Good to Great to Unstoppable,Tim S. Grover,https://www.goodreads.com/author/show/253495.Tim_S_Grover,Kindle $13.99,3.96,"14,895","1,176","233 pages, Paperback"
https://www.goodreads.com/book/show/615389.The_Five_Love_Languages_for_Singles,The Five Love Languages for Singles,Gary Chapman,https://www.goodreads.com/author/show/622.Gary_Chapman,,4.12,"11,590","1,032","256 pages, Paperback"
https://www.goodreads.com/book/show/923950.The_Highly_Sensitive_Person,The Highly Sensitive Person: How to Thrive When the World Overwhelms You,Elaine N. Aron,https://www.goodreads.com/author/show/89949.Elaine_N_Aron,Kindle Unlimited $0.00,3.86,"44,731","2,712","251 pages, Paperback"
https://www.goodreads.com/book/show/783127.The_7_Habits_of_Highly_Effective_Teens,The 7 Habits of Highly Effective Teens: The Ultimate Teenage Success Guide,Sean Covey,https://www.goodreads.com/author/show/38343.Sean_Covey,Kindle $13.99,4.05,"34,706","2,510","268 pages, Paperback"
https://www.goodreads.com/book/show/18858489-spilled-milk,Spilled Milk,K.L. Randis,https://www.goodreads.com/author/show/7193037.K_L_Randis,Kindle Unlimited $0.00,4.41,"58,083","3,845","388 pages, Kindle Edition"
https://www.goodreads.com/book/show/129909.The_Boy_Who_Was_Raised_as_a_Dog,The Boy Who Was Raised as a Dog: And Other Stories from a Child Psychiatrist's Notebook,Bruce D. Perry,https://www.goodreads.com/author/show/74693.Bruce_D_Perry,,4.58,"28,132","2,516","288 pages, Hardcover"
https://www.goodreads.com/book/show/23215490-13-things-mentally-strong-people-don-t-do,"13 Things Mentally Strong People Don't Do: Take Back Your Power, Embrace Change, Face Your Fears, and Train Your Brain for Happiness and Success",Amy Morin,https://www.goodreads.com/author/show/8151916.Amy_Morin,Kindle Unlimited $0.00,3.91,"23,558","1,876","272 pages, Hardcover"
https://www.goodreads.com/book/show/97642.No_More_Mr_Nice_Guy,No More Mr. Nice Guy,Robert A. Glover,https://www.goodreads.com/author/show/56130.Robert_A_Glover,Kindle $9.99,4.04,"17,429","1,235","208 pages, Hardcover"
https://www.goodreads.com/book/show/615570.The_Artist_s_Way,The Artist's Way: A Spiritual Path to Higher Creativity,Julia Cameron,https://www.goodreads.com/author/show/13229.Julia_Cameron,,3.94,"107,020","3,829","237 pages, Paperback"
https://www.goodreads.com/book/show/687278.When_Things_Fall_Apart,When Things Fall Apart: Heart Advice for Difficult Times,Pema Chödrön,https://www.goodreads.com/author/show/8052.Pema_Ch_dr_n,Kindle $13.99,4.28,"51,626","3,193","148 pages, Paperback"
https://www.goodreads.com/book/show/37880811-make-time,Make Time: How to Focus on What Matters Every Day,Jake Knapp,https://www.goodreads.com/author/show/14080260.Jake_Knapp,Kindle $12.99,4.09,"18,782","2,001","287 pages, Hardcover"
https://www.goodreads.com/book/show/35289.The_33_Strategies_of_War,The 33 Strategies of War,Robert Greene,https://www.goodreads.com/author/show/865.Robert_Greene,Kindle $16.99,4.22,"16,010",790,"496 pages, Hardcover"
https://www.goodreads.com/book/show/25066556-presence,Presence: Bringing Your Boldest Self to Your Biggest Challenges,Amy Cuddy,https://www.goodreads.com/author/show/6862909.Amy_Cuddy,Kindle $11.99,3.90,"16,772","1,313","352 pages, Hardcover"
https://www.goodreads.com/book/show/34879265-the-little-book-of-lykke,The Little Book of Lykke: The Danish Search for the World's Happiest People,Meik Wiking,https://www.goodreads.com/author/show/15217208.Meik_Wiking,Kindle $15.99,3.99,"16,626","1,465","288 pages, Hardcover"
https://www.goodreads.com/book/show/34921573-lost-connections,Lost Connections: Uncovering the Real Causes of Depression - and the Unexpected Solutions,Johann Hari,https://www.goodreads.com/author/show/321601.Johann_Hari,Kindle $9.99,4.27,"31,889","3,499","322 pages, Hardcover"
https://www.goodreads.com/book/show/25733966-smarter-faster-better,Smarter Faster Better: The Secrets of Being Productive in Life and Business,Charles Duhigg,https://www.goodreads.com/author/show/5201530.Charles_Duhigg,Kindle $13.99,3.90,"32,502","2,435","400 pages, Hardcover"
https://www.goodreads.com/book/show/22889767-better-than-before,Better Than Before: Mastering the Habits of Our Everyday Lives,Gretchen Rubin,https://www.goodreads.com/author/show/21246.Gretchen_Rubin,Kindle $13.99,3.82,"39,806","3,951","298 pages, Hardcover"
https://www.goodreads.com/book/show/582533.Creative_Visualization,Creative Visualization: Use the Power of Your Imagination to Create What You Want in Your Life,Shakti Gawain,https://www.goodreads.com/author/show/41093.Shakti_Gawain,,4.11,"25,194",562,"175 pages, Paperback"
https://www.goodreads.com/book/show/244383.Ask_and_It_Is_Given,Ask and It Is Given: Learning to Manifest Your Desires,Esther Hicks,https://www.goodreads.com/author/show/30278.Esther_Hicks,Kindle $9.99,4.18,"34,549","1,121","314 pages, Paperback"
https://www.goodreads.com/book/show/6012533-how-successful-people-think,,,,,,,,
https://www.goodreads.com/book/show/23129659-adult-children-of-emotionally-immature-parents,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents",Lindsay C. Gibson PsyD,https://www.goodreads.com/author/show/29839231.Lindsay_C_Gibson_PsyD,Kindle $9.99,4.41,"33,873","3,530","203 pages, Paperback"
https://www.goodreads.com/book/show/67896.Tao_Te_Ching,Tao Te Ching,Lao Tzu,https://www.goodreads.com/author/show/2622245.Lao_Tzu,Kindle $4.99,4.30,"147,477","6,779","107 pages, Paperback"
https://www.goodreads.com/book/show/188013.Stop_Walking_on_Eggshells,Stop Walking on Eggshells: Taking Your Life Back When Someone You Care about Has Borderline Personality Disorder,Paul T. Mason,https://www.goodreads.com/author/show/109523.Paul_T_Mason,,4.00,"10,058",742,"258 pages, Hardcover"
https://www.goodreads.com/book/show/598506.How_to_Think_Like_Leonardo_da_Vinci,How to Think Like Leonardo da Vinci: Seven Steps to Genius Every Day,Michael J. Gelb,https://www.goodreads.com/author/show/8426.Michael_J_Gelb,Kindle $4.99,3.82,"6,060",478,"321 pages, Paperback"
https://www.goodreads.com/book/show/8676.Unlimited_Power,Unlimited Power: The New Science Of Personal Achievement,Anthony Robbins,https://www.goodreads.com/author/show/5627.Anthony_Robbins,Kindle $14.99,4.21,"34,037",830,"426 pages, Paperback"
https://www.goodreads.com/book/show/97641.Nice_Girls_Don_t_Get_the_Corner_Office,Nice Girls Don't Get the Corner Office: 101 Unconscious Mistakes Women Make That Sabotage Their Careers,Lois P. Frankel,https://www.goodreads.com/author/show/4469009.Lois_P_Frankel,,3.68,"16,474","1,042","288 pages, Paperback"
https://www.goodreads.com/book/show/313605.Getting_to_Yes,Getting to Yes: Negotiating Agreement Without Giving In,Roger Fisher,https://www.goodreads.com/author/show/2838.Roger_Fisher,,3.95,"73,708","2,351","200 pages, Paperback"
https://www.goodreads.com/book/show/10723227-the-nerdist-way,The Nerdist Way: How to Reach the Next Level,Chris Hardwick,https://www.goodreads.com/author/show/4460742.Chris_Hardwick,Kindle $7.99,3.67,"5,723",450,"279 pages, Hardcover"
https://www.goodreads.com/book/show/20980987-the-art-of-asking-or-how-i-learned-to-stop-worrying-and-let-people-hel,"The Art of Asking; or, How I Learned to Stop Worrying and Let People Help",Amanda Palmer,https://www.goodreads.com/author/show/1010543.Amanda_Palmer,Kindle $11.99,3.93,"35,478","3,367","339 pages, Hardcover"
https://www.goodreads.com/book/show/136977.The_Places_That_Scare_You,The Places That Scare You: A Guide to Fearlessness in Difficult Times,Pema Chödrön,https://www.goodreads.com/author/show/8052.Pema_Ch_dr_n,Kindle $13.99,4.22,"18,864",862,"187 pages, Paperback"
https://www.goodreads.com/book/show/785092.Secrets_of_the_Millionaire_Mind,Secrets of the Millionaire Mind: Mastering the Inner Game of Wealth,T. Harv Eker,https://www.goodreads.com/author/show/8656.T_Harv_Eker,Kindle $9.99,4.21,"59,402","2,435","212 pages, Hardcover"
https://www.goodreads.com/book/show/8520610-quiet,Quiet: The Power of Introverts in a World That Can't Stop Talking,Susan Cain,https://www.goodreads.com/author/show/4101935.Susan_Cain,Kindle $14.99,4.07,"411,009","28,083","333 pages, Hardcover"
https://www.goodreads.com/book/show/10339170-the-10x-rule,The 10X Rule: The Only Difference Between Success and Failure,Grant Cardone,https://www.goodreads.com/author/show/1638887.Grant_Cardone,Kindle $16.00,3.95,"24,005","1,954","240 pages, Hardcover"
https://www.goodreads.com/book/show/40745.Mindset,Mindset: The New Psychology of Success,Carol S. Dweck,https://www.goodreads.com/author/show/217172.Carol_S_Dweck,,4.09,"136,565","10,217","276 pages, Hardcover"
https://www.goodreads.com/book/show/25480369-the-anatomy-of-peace,The Anatomy of Peace: Resolving the Heart of Conflict,The Arbinger Institute,https://www.goodreads.com/author/show/828.The_Arbinger_Institute,Kindle $9.11,4.18,"15,057","2,007","288 pages, Paperback"
https://www.goodreads.com/book/show/19501.Eat_Pray_Love,"Eat, Pray, Love",Elizabeth Gilbert,https://www.goodreads.com/author/show/11679.Elizabeth_Gilbert,Kindle $13.99,3.61,"1,683,715","57,111","368 pages, Paperback"
https://www.goodreads.com/book/show/39071691-the-bullet-journal-method,"The Bullet Journal Method: Track the Past, Order the Present, Design the Future",Ryder Carroll,https://www.goodreads.com/author/show/17732950.Ryder_Carroll,Kindle $14.99,4.05,"26,653","3,178","336 pages, Kindle Edition"
